name,n_phases,r1,x1,r0,x0,c1,c0,units,r_matrix,x_matrix,c_matrix,rg,xg,rho,symmetrical_components
4/0_al_ug,3,0.0917,0.028,0.3861,0.2678,3.4E-9,1.6E-9,kft,[  0.18983333 |  0.09813333   0.18983333 |  0.09813333   0.09813333   0.18983333 ],[  0.10793333 |  0.07993333   0.10793333 |  0.07993333   0.07993333   0.10793333 ],[  2.80000000 | -0.60000000   2.80000000 | -0.60000000  -0.60000000   2.80000000 ],0.01805,0.155081,100,true
1/0_triplex_3ph,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.20176167 |  0.01804955   0.20176167 |  0.01804955   0.01804955   0.20176167 ],[  0.28577060 |  0.25445134   0.28577060 |  0.24648656   0.25445134   0.28577060 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
1/0_triplex_1ph,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.25386817 ],[  0.07582623 ],[ 15.00000000 ],0.01805,0.155081,100,false
unknown_750,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.04437530 |  0.01804955   0.04437530 |  0.01804955   0.01804955   0.04437530 ],[  0.26150996 |  0.24834508   0.26150996 |  0.24038031   0.24834508   0.26150996 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
oh-1ph_1/0ar,3,0.535622,0.5430160000000001,0.867434,1.393922,9.420999999999999E-9,4.9579E-9,km,[  0.64622600 |  0.11060400   0.64622600 |  0.11060400   0.11060400   0.64622600 ],[  0.82665133 |  0.28363533   0.82665133 |  0.28363533   0.28363533   0.82665133 ],[  7.93330000 | -1.48770000   7.93330000 | -1.48770000  -1.48770000   7.93330000 ],0.01805,0.155081,100,true
oh-3ph_1/0ar,3,0.535622,0.520088,0.850657,1.478987,9.932299999999999E-9,4.490599999999999E-9,km,[  0.64063367 |  0.10501167   0.64063367 |  0.10501167   0.10501167   0.64063367 ],[  0.83972100 |  0.31963300   0.83972100 |  0.31963300   0.31963300   0.83972100 ],[  8.11840000 | -1.81390000   8.11840000 | -1.81390000  -1.81390000   8.11840000 ],0.01805,0.155081,100,true
oh-2ph_1/0ar,3,0.535622,0.5576179999999999,0.848606,1.40871,9.120900000000001E-9,4.862599999999999E-9,km,[  0.63995000 |  0.10432800   0.63995000 |  0.10432800   0.10432800   0.63995000 ],[  0.84131533 |  0.28369733   0.84131533 |  0.28369733   0.28369733   0.84131533 ],[  7.70146667 | -1.41943333   7.70146667 | -1.41943333  -1.41943333   7.70146667 ],0.01805,0.155081,100,true
oh-3ph_4/0aa,3,0.270296,0.425266,0.499147,1.261135,1.05673E-8,4.645699999999999E-9,km,[  0.34657967 |  0.07628367   0.34657967 |  0.07628367   0.07628367   0.34657967 ],[  0.70388900 |  0.27862300   0.70388900 |  0.27862300   0.27862300   0.70388900 ],[  8.59343333 | -1.97386667   8.59343333 | -1.97386667  -1.97386667   8.59343333 ],0.01805,0.155081,100,true
oh-3ph_4ar,3,1.351482,0.522946,1.749346,1.710075,9.17E-9,4.2956E-9,km,[  1.48410333 |  0.13262133   1.48410333 |  0.13262133   0.13262133   1.48410333 ],[  0.91865567 |  0.39570967   0.91865567 |  0.39570967   0.39570967   0.91865567 ],[  7.54520000 | -1.62480000   7.54520000 | -1.62480000  -1.62480000   7.54520000 ],0.01805,0.155081,100,true
oh-1ph_4ar,3,1.351482,0.545812,1.770348,1.644707,8.732500000000001E-9,4.7158E-9,km,[  1.49110400 |  0.13962200   1.49110400 |  0.13962200   0.13962200   1.49110400 ],[  0.91211033 |  0.36629833   0.91211033 |  0.36629833   0.36629833   0.91211033 ],[  7.39360000 | -1.33890000   7.39360000 | -1.33890000  -1.33890000   7.39360000 ],0.01805,0.155081,100,true
oh-3ph_397aa,3,0.144158,0.397118,0.373009,1.232986,1.12992E-8,4.781900000000001E-9,km,[  0.22044167 |  0.07628367   0.22044167 |  0.07628367   0.07628367   0.22044167 ],[  0.67574067 |  0.27862267   0.67574067 |  0.27862267   0.27862267   0.67574067 ],[  9.12676667 | -2.17243333   9.12676667 | -2.17243333  -2.17243333   9.12676667 ],0.01805,0.155081,100,true
oh-1ph_6cu,3,1.354589,0.531396,1.776562,1.631161,8.1749E-9,4.513899999999999E-9,km,[  1.49524667 |  0.14065767   1.49524667 |  0.14065767   0.14065767   1.49524667 ],[  0.89798433 |  0.36658833   0.89798433 |  0.36658833   0.36658833   0.89798433 ],[  6.95456667 | -1.22033333   6.95456667 | -1.22033333  -1.22033333   6.95456667 ],0.01805,0.155081,100,true
oh-3ph_795aa,3,0.073322,0.370648,0.302173,1.206516,1.21576E-8,4.9291E-9,km,[  0.14960567 |  0.07628367   0.14960567 |  0.07628367   0.07628367   0.14960567 ],[  0.64927067 |  0.27862267   0.64927067 |  0.27862267   0.27862267   0.64927067 ],[  9.74810000 | -2.40950000   9.74810000 | -2.40950000  -2.40950000   9.74810000 ],0.01805,0.155081,100,true
oh-3ph_2cu,3,0.548111,0.469259,0.884149,1.416788,9.4113E-9,4.358399999999999E-9,km,[  0.66012367 |  0.11201267   0.66012367 |  0.11201267   0.11201267   0.66012367 ],[  0.78510200 |  0.31584300   0.78510200 |  0.31584300   0.31584300   0.78510200 ],[  7.72700000 | -1.68430000   7.72700000 | -1.68430000  -1.68430000   7.72700000 ],0.01805,0.155081,100,true
ug-1ph_1/0urd,3,0.557743,0.098425,2.362204,0.098425,2.157543E-7,2.157543E-7,km,[  1.15923000 |  0.60148700   1.15923000 |  0.60148700   0.60148700   1.15923000 ],[  0.09842500 |  0.00000000   0.09842500 |  0.00000000   0.00000000   0.09842500 ],[215.75430000 |  0.00000000 215.75430000 |  0.00000000   0.00000000 215.75430000 ],0.01805,0.155081,100,true
ug-3ph_1/0urd,3,0.557743,0.164042,1.148294,0.098425,2.157543E-7,2.157543E-7,km,[  0.75459333 |  0.19685033   0.75459333 |  0.19685033   0.19685033   0.75459333 ],[  0.14216967 | -0.02187233   0.14216967 | -0.02187233  -0.02187233   0.14216967 ],[215.75430000 |  0.00000000 215.75430000 |  0.00000000   0.00000000 215.75430000 ],0.01805,0.155081,100,true
